fen
10/10/10/10/10/4b5/10/10/10/10 [w] 1 - b54 - w44
10/10/10/10/4w5/4b5/10/10/10/10 [w] 2 - w44 - w50
10/10/10/10/4w5/w3b5/10/10/10/10 [b] 3 - w50 - b55
10/10/10/10/4w5/w3bb4/10/10/10/10 [b] 4 - b55 - b45
10/10/10/10/4wb4/w3bb4/10/10/10/10 [w] 5 - b45 - w63
10/10/10/10/4wb4/w3bb4/3w6/10/10/10 [w] 6 - w63 - w36
10/10/10/6w3/4wb4/w3bb4/3w6/10/10/10 [b] 7 - w36 - b65
10/10/10/6w3/4wb4/w3bb4/3w1b4/10/10/10 [b] 8 - b65 - b35
10/10/10/5bw3/4wb4/w3bb4/3w1b4/10/10/10 [w] 9 - b35 - w66
10/10/10/5bw3/4wb4/w3bb4/3w1bw3/10/10/10 [w] 10 - w66 - w58
10/10/10/5bw3/4wb4/w3bb2w1/3w1bw3/10/10/10 [b] 11 - w58 - b19
10/9b/10/5bw3/4wb4/w3bb2w1/3w1bw3/10/10/10 [b] 12 - b19 - b25
10/9b/5b4/5bw3/4wb4/w3bb2w1/3w1bw3/10/10/10 [w] 13 - b25 - w15
10/5w3b/5b4/5bw3/4wb4/w3bb2w1/3w1bw3/10/10/10 [w] 14 - w15 - w0
w9/5w3b/5b4/5bw3/4wb4/w3bb2w1/3w1bw3/10/10/10 [b] 15 - w0 - b75
======
10/10/10/10/5b4/10/10/10/10/10 [w] 1 - b45 - w64
10/10/10/10/5b4/10/4w5/10/10/10 [w] 2 - w64 - w54
10/10/10/10/5b4/4w5/4w5/10/10/10 [b] 3 - w54 - b44
10/10/10/10/4bb4/4w5/4w5/10/10/10 [b] 4 - b44 - b51
10/10/10/10/4bb4/1b2w5/4w5/10/10/10 [w] 5 - b51 - w83
10/10/10/10/4bb4/1b2w5/4w5/10/3w6/10 [w] 6 - w83 - w43
10/10/10/10/3wbb4/1b2w5/4w5/10/3w6/10 [b] 7 - w43 - b55
10/10/10/10/3wbb4/1b2wb4/4w5/10/3w6/10 [b] 8 - b55 - b7
7b2/10/10/10/3wbb4/1b2wb4/4w5/10/3w6/10 [w] 9 - b7 - w65
7b2/10/10/10/3wbb4/1b2wb4/4ww4/10/3w6/10 [w] 10 - w65 - w76
7b2/10/10/10/3wbb4/1b2wb4/4ww4/6w3/3w6/10 [b] 11 - w76 - b32
7b2/10/10/2b7/3wbb4/1b2wb4/4ww4/6w3/3w6/10 [b] 12 - b32 - b80
