next_turn,move_count,last_move_player,last_move_position,line_counts_competitor_4,line_counts_competitor_5,line_counts_player_4,line_counts_player_5,base_value,shap_sum,predicted_class,actual_class,expected_value
1.0583486633371682e-10,9.163098480211943e-10,-1.405411851710762e-10,2.989418129995443e-10,-2.5200278900664824e-10,9.528472918092964e-12,-5.957341795796249e-11,-2.3877267639934214e-11,,8.546203404969273e-10,1,2,0.31042798609525285
-3.674479840768778e-10,-8.022983203718562e-09,7.76337096460485e-11,1.6819437104650023e-10,-8.157864198980273e-11,1.5425029309401594e-11,-1.306383022592339e-10,-1.881592950024602e-11,,-8.36021095154277e-09,0,0,0.32229377485109595
2.377722324586884e-11,1.4372456743257562e-09,2.248816607467822e-10,9.789785810713585e-10,8.44001988668334e-10,2.7498875630286673e-10,5.681007067945913e-10,2.911671499970329e-10,,4.643141741152591e-09,1,1,0.31042798609525285
-3.139363491388991e-10,1.1779502535428736e-09,3.8798513476064517e-10,4.3254050804038733e-11,4.7284625289319614e-11,5.180784967695473e-11,-7.46742135719162e-10,6.145076750692831e-11,,7.090541967226989e-10,1,1,0.31042798609525285
-4.3895549001193856e-10,4.4224331372892206e-10,4.1388526749360405e-10,1.19068412537023e-12,-2.1687507576843382e-10,2.6053992296937167e-11,2.5529667847338605e-10,-4.394829997607837e-10,,4.335637057706348e-11,0,1,0.32229377485109595
5.51308404021326e-10,9.52069659221344e-10,3.3984782580690856e-12,-1.2921843040025749e-09,-5.115906772286868e-11,-4.164879436700334e-11,-1.7146703617150946e-10,1.2773853155789716e-11,,-3.690880760742762e-11,1,2,0.31042798609525285
3.4057393479465975e-10,1.2904403471717767e-09,8.097231334510309e-11,-5.530235528775999e-10,5.561560471415798e-12,2.383482531712981e-11,1.0291690532201099e-10,1.7061969025122803e-10,,1.4618960237957241e-09,1,1,0.31042798609525285
-7.180915468733377e-11,1.1723250287198894e-09,3.193576959594398e-10,-3.4754899883952345e-10,-8.14302440292162e-10,1.7595236032064143e-10,-6.33917825639448e-11,-1.392209033242627e-11,,3.566606182845802e-10,2,0,0.36727823905365176
-2.0840464539280865e-10,1.0869158955396456e-09,-2.5647750705644807e-11,-9.0118949889334e-10,-1.8423634146058632e-10,-4.8206251490601204e-11,-9.220381495348798e-10,-1.8734059858971364e-09,,-3.0762127278353515e-09,1,2,0.31042798609525285
-3.214154405591548e-11,3.924242273726601e-10,1.6178091794457247e-10,1.1270109700802407e-09,6.063298011819521e-10,2.4687930519351475e-10,2.9864167967278793e-10,1.6404859097309452e-10,,2.964973948362907e-09,0,2,0.32229377485109595
-1.6947221403995627e-10,8.202217331258291e-10,2.2816191066106956e-11,9.93971617975949e-11,-3.9118579671833703e-10,-3.2802441318757758e-12,2.2437537418318332e-10,-8.016953258656775e-10,,-1.9882312058313223e-10,1,1,0.31042798609525285
-3.278425158662982e-11,-7.7660843126696e-09,-1.1148282904466233e-10,-4.082114999035917e-12,1.111766327147971e-10,1.55578164934278e-10,2.929179121480274e-11,1.7022102708856104e-10,,-7.448165892347488e-09,0,0,0.32229377485109595
1.1294105928261189e-10,4.157224379556605e-10,3.856500067206392e-10,5.636351015544013e-10,3.4471062115848383e-10,3.2719071896281093e-10,3.111532964154377e-10,4.741468730950124e-10,,2.9351501151450576e-09,2,0,0.36727823905365176
5.327213670192066e-11,7.044521540174505e-10,-4.381339157218574e-11,-1.3397099494586822e-09,3.100528075024774e-10,-1.344117965077866e-09,-3.346364489039781e-10,4.918547340249102e-11,,-1.9453151833883726e-09,2,2,0.36727823905365176
